Id,Beneficiary_Name,Date,Direction,Amount,Description,Currency,Mcc,Kind,Catcode,code,parent_code,name
10023191,Adobe,08/25/2021 02:00:00,d,18.2,TV,USD,5045,pmt,,,,
10108594,Home cleaning service,10/20/2021 02:00:00,d,45.9,Cleaning,USD,,pmt,,,,
10166729,Pet hotel Happy Dog,04/21/2021 02:00:00,d,100.6,Monthly stay,USD,5995,pmt,,,,
10248426,Jill,11/18/2021 01:00:00,d,48.7,Allowance,USD,,pmt,,,,
10326647,Jill,11/16/2021 01:00:00,d,50.5,Allowance,USD,,pmt,,,,
10364820,The barbers,08/19/2021 02:00:00,d,22.7,Haircut,USD,7230,pmt,,,,
10448202,Fit and Fun,08/08/2021 02:00:00,d,20.5,Gym membership,USD,,pmt,,,,
10549898,Delhaize,09/28/2021 02:00:00,d,94.7,Supermaket shopping,USD,5200,pmt,,,,
10566088,UniCredit Leasing,03/21/2021 01:00:00,d,450,Financial leasing,USD,7394,pmt,,,,
10613403,Home cleaning service,04/01/2021 02:00:00,d,50.4,Cleaning,USD,,pmt,,,,
11008302,Red Cross,02/16/2021 01:00:00,d,52.1,Charity,USD,,pmt,,,,
11100097,Lidl,07/12/2021 02:00:00,d,73.3,Supermaket shopping,USD,5200,pmt,,,,
11214644,,05/09/2021 02:00:00,d,241.1,ATM withdrawal,USD,,wdw,,,,
11265683,Apple,05/04/2021 02:00:00,d,15.1,Spotify premium subscription,USD,5733,pmt,,,,
11405257,Shell,01/16/2021 01:00:00,d,45.4,Gasoline purchases,USD,5983,pmt,,,,
11415482,Hulu,04/22/2021 02:00:00,d,5.4,Netflix subscription,USD,,pmt,,,,
11951369,Serenity Wellnes,02/27/2021 01:00:00,d,25.4,Spa treatment,USD,8050,pmt,,,,
12029899,Fit and Fun,08/22/2021 02:00:00,d,24.6,Personal trainer,USD,,pmt,,,,
12150661,Swimming school,05/24/2021 02:00:00,d,28.4,Membership,USD,,pmt,,,,
12211755,Asseco,04/03/2021 02:00:00,c,2313.3,Salary,USD,,sal,,,,
12391398,Lidl,12/19/2021 01:00:00,d,99.8,Supermaket shopping,USD,5200,pmt,,,,
12438945,Save our kids,04/05/2021 02:00:00,d,52,Charity,USD,,pmt,,,,
12729613,Pet shop,04/07/2021 02:00:00,d,23.8,Shopping,USD,5995,pmt,,,,
12787396,Visa,07/14/2021 02:00:00,d,54.4,Pay with Mastercard,USD,,pmt,,,,
12912046,Generali,12/17/2021 01:00:00,d,45.1,Extended health insurance,USD,,pmt,,,,
12912239,The barbers,10/23/2021 02:00:00,d,35,Haircut,USD,7230,pmt,,,,
13375803,Coinbase,11/12/2021 01:00:00,c,628.4,Cryptocurrency sales,USD,,dep,,,,
13417221,Jill,06/22/2021 02:00:00,d,38.9,Allowance,USD,,pmt,,,,
13503667,MasterCard,04/12/2021 02:00:00,d,77.5,Pay with Visa,USD,,pmt,,,,
13592768,Coinbase,10/27/2021 02:00:00,c,624.3,Cryptocurrency sales,USD,,dep,,,,
13907913,Delhaize,09/08/2021 02:00:00,d,81.3,Supermaket shopping,USD,5200,pmt,,,,
13969038,Generali,02/08/2021 01:00:00,d,45.5,Extended health insurance,USD,,pmt,,,,
14191784,Jill,03/26/2021 01:00:00,d,36.2,Allowance,USD,,pmt,,,,
14482560,Pet salon Rex,11/11/2021 01:00:00,d,10.3,Grooming,USD,,pmt,,,,
14652043,Serenity Wellnes,04/16/2021 02:00:00,d,21.9,Massage,USD,8050,pmt,,,,
10700110,Delhaize,03/18/2021 01:00:00,d,39.8,Supermaket shopping,USD,5499,pmt,38,,,
12175584,Lidl,04/07/2021 02:00:00,d,30.4,Supermaket shopping,USD,5499,pmt,38,,,
13288456,Lidl,06/26/2021 02:00:00,d,35.5,Supermaket shopping,USD,5499,pmt,38,,,
13485416,Delhaize,11/23/2021 01:00:00,d,33,Supermaket shopping,USD,5499,pmt,38,,,
13609418,Lidl,02/11/2021 01:00:00,d,40.7,Supermaket shopping,USD,5499,pmt,38,,,
13793179,Lidl,01/10/2021 01:00:00,d,31.7,Supermaket shopping,USD,5499,pmt,38,,,
14464698,Delhaize,06/23/2021 02:00:00,d,36.9,Supermaket shopping,USD,5499,pmt,38,,,
14946456,Lidl,09/10/2021 02:00:00,d,33.7,Supermaket shopping,USD,5499,pmt,38,,,
10421646,City parkings,05/05/2021 02:00:00,d,2.8,Parking fee,USD,7523,pmt,5,,,
11544899,Swimming pool Activa,06/28/2021 02:00:00,d,15.8,Table tennis 2 hrs,USD,5655,pmt,50,,,
13142380,Faculty of contemporary arts,05/26/2021 02:00:00,d,164.6,Tuition,USD,8299,pmt,17,,,
10047525,Tele9,07/13/2021 02:00:00,d,18.1,Television bill,USD,,pmt,C,,,
10058284,Orange,08/16/2021 02:00:00,d,24.5,Internet bill,USD,,pmt,C,,,
10124603,Comcast,06/26/2021 02:00:00,d,15.7,Television bill,USD,,pmt,C,,,
11054450,A1 Telecom,03/07/2021 01:00:00,d,5.5,Phone bill,USD,,pmt,C,,,
12052308,Orange,11/03/2021 01:00:00,d,20.1,Internet bill,USD,,pmt,C,,,
12341904,A1 Telecom,09/05/2021 02:00:00,d,27.6,Internet bill,USD,,pmt,C,,,
12863727,A1 Telecom,02/20/2021 01:00:00,d,29.3,Internet bill,USD,,pmt,C,,,
13787142,T-Mobile,07/22/2021 02:00:00,d,13.6,Mobile phone bill,USD,,pmt,C,,,
13921480,T-Mobile,01/23/2021 01:00:00,d,20.4,Mobile phone bill,USD,,pmt,C,,,
14831330,A1 Telecom,10/15/2021 02:00:00,d,34.7,Internet bill,USD,,pmt,C,,,
10517968,Heating,05/11/2021 02:00:00,d,50.9,Utilities payment,USD,,pmt,C,,,
13743307,Heating,01/10/2021 01:00:00,d,63,Utilities payment,USD,,pmt,C,,,
12088253,Hertz,03/06/2021 01:00:00,d,14.5,Taxi,USD,7519,pmt,B,,,
15073047,Medigroup,07/13/2021 02:00:00,d,57.4,Specialist,USD,8011,pmt,,,,
15187916,The barbers,12/11/2021 01:00:00,d,25.3,Haircut,USD,7230,pmt,,,,
15372512,Fit and Fun,02/02/2021 01:00:00,d,29.5,Personal trainer,USD,,pmt,,,,
15590012,Pet hotel Happy Dog,05/22/2021 02:00:00,d,100.3,Monthly stay,USD,5995,pmt,,,,
15799125,Pet store,10/10/2021 02:00:00,d,22,Shopping,USD,5995,pmt,,,,
15830107,Book depository,10/23/2021 02:00:00,d,11.5,Book,USD,,pmt,,,,
16022872,Pet hotel Happy Dog,01/28/2021 01:00:00,d,100.8,Monthly stay,USD,5995,pmt,,,,
16158965,Lily,04/12/2021 02:00:00,d,38.7,Medicine,USD,5912,pmt,,,,
16265468,Generali ado,02/14/2021 01:00:00,d,789.4,Kasko insurance,USD,6381,pmt,,,,
